"id","hashtag"
"8","ipad"
"9","macbook"
"10","iphone"
"11","headphones"
"12","processor"
"13","laptop"
"14","sweater"
"15","shirt"
"16","jacket"
"17","pants"
"18","shorts"
"19","earrings"
"20","ring"
"21","necklace"
"22","perfume"
"23","cologne"
"24","microsoft"
"25","samsung"
"26","lg"
"27","sony"
"id","hashtag_id","tweet","tweet_id"
"2608","9","RT @MacClassifieds: 2019 15"" 2.6GHz6-Core #Apple #MacBook Pro, refurbished, for $1869 at Apple. $530 off! Free ship, 1-yr warranty https://…","1333878816658296834"
"2609","9","2019 15"" 2.6GHz6-Core #Apple #MacBook Pro, refurbished, for $1869 at Apple. $530 off! Free ship, 1-yr warranty https://t.co/iakuEMe9QH","1333878701155627009"
"2610","9","RT @eggtronic: 🌈  We are proud of every single one of products, made with quality and care. 🌈  

#einova  #collection #eggtronic #powerbar…","1333877410727665667"
"2611","9","RT @eggtronic: 🌈  We are proud of every single one of products, made with quality and care. 🌈  

#einova  #collection #eggtronic #powerbar…","1333877333774753792"
"2612","9","🌈  We are proud of every single one of products, made with quality and care. 🌈  

#einova  #collection #eggtronic #powerbar #ecofriendly #lowemissions #power #technology #hightech #innovation #Apple #microsoft #mac #macbook #techaccessories #travel #laptop #productdesign. https://t.co/CDDskpbAHh","1333877313142972416"
"2613","9","RT @CheapMac: 2020 13"" Intel 1.4GHz/256GB #Apple #MacBook Pro for only $1059, refurbished, at Apple, $240 off. Free ship, 1-yr warranty htt…","1333876072409161731"
"2614","9","2020 13"" Intel 1.4GHz/256GB #Apple #MacBook Pro for only $1059, refurbished, at Apple, $240 off. Free ship, 1-yr warranty https://t.co/1XelGJXBt9","1333876031963455488"
"2615","9","Mosiso laptop sleeve 13inch colorful sky. 

https://t.co/NIIVzaossE

#Mosiso #laptop #laptopsleeve #macbooksleeve #Macbook #MacbookAir13inch #MacbookPro https://t.co/xntFJpYAxN","1333875113498959873"
"2616","9","MOSISO PU Leather laptop Tote bag.

https://t.co/NfYWw57mLh

#Mosiso #laptop #laptopbag #totebags #MacBook #leatherbag #leatherlook #winterfashion #fallfashion https://t.co/tEpxqn4iJa","1333874513482833921"
"2617","9","RT @MacBookShopper: 2020 13"" M1 #Apple #MacBook Airs for $948 at Expercom, $51 off MSRP. Free ship. https://t.co/oZ5VKnQG9u","1333866046168690694"
"2618","9","2020 13"" M1 #Apple #MacBook Airs for $948 at Expercom, $51 off MSRP. Free ship. https://t.co/oZ5VKnQG9u","1333865996843618305"
"2619","9","RT @ApplePromo: MacBook Air Price Tracker, real-time prices #macbook #apple #macbookair https://t.co/2gdU9cw9t2","1333860959170027520"
"2620","9","MacBook Air Price Tracker, real-time prices #macbook #apple #macbookair https://t.co/2gdU9cw9t2","1333860932842369025"
"2621","9","If you've had a problem printing from your #MacBook to your #HP 🖨 the past month or so, getting scarey driver errors 😱 like {""hpPreProcessing.filter"" will damage your computer. I am unable to print.} then this solution works.👍 @HPSupport @AppleSupport
https://t.co/TjLyE39s5j","1333859585342332928"
"2622","9","RT @MacBookShopper: 2020 13"" Intel 2-Core #Apple #MacBook Airs for $869 at B&amp;H, $130 off MSRP. Free ship. https://t.co/442oLs74nY","1333856760495566851"
"2623","9","2020 13"" Intel 2-Core #Apple #MacBook Airs for $869 at B&amp;H, $130 off MSRP. Free ship. https://t.co/442oLs74nY","1333856021354323968"
"2624","9","RT @MacClassifieds: 2019 16"" 2.3GHz 8-Core #Apple #MacBook Pro for $2379, refurbished, at Apple. $420 off. Free ship, 1-yr warranty https:/…","1333853726516277248"
"2625","9","2020 13"" Intel 2.0GHz/1TB #Apple #MacBook Pro, refurbished, for $1699 at Apple, save $300. Free ship, 1-yr warranty https://t.co/Doj4HgTZ0H","1333853383673868289"
"2626","9","2019 16"" 2.3GHz 8-Core #Apple #MacBook Pro for $2379, refurbished, at Apple. $420 off. Free ship, 1-yr warranty https://t.co/715AVzdzbq","1333853382935777280"
"2627","9","RT @rikwalters: @Amazon Makes #Mac Commitment, Opening Door to #Apple Developers

Amazon’s cloud-computing arm is installing Macs, allowing…","1333846166811807744"
"2628","9","RT @rikwalters: @Amazon Makes #Mac Commitment, Opening Door to #Apple Developers

Amazon’s cloud-computing arm is installing Macs, allowing…","1333846151339012097"
"2629","9","3 Best MacBook Battery Replacement Options That Every Mac User Should Know https://t.co/tWOAmeC2jw 

#MacBook #MacbookBatteryreplacement #esourceparts","1333846133412491266"
"2630","9","12"" Retina MacBook Price Tracker, real-time prices #macbook #apple #mac https://t.co/wpNAToQYTy","1333845837668085763"
"2631","9","RT @MacClassifieds: 2019 16"" 2.6GHz 6-Core #Apple #MacBook Pro for $2039, refurbished, at Apple. $360 off. Free ship, 1-yr warranty https:/…","1333842719819513856"
"2632","9","RT @MeafordLibrary: Yes! The Meaford Public Library has MacBooks! 🍎 Thank you to the Rotary Club of Meaford! 
@Meaford @GreyBruceKids @Appl…","1333842348380360704"
"2633","9","2019 16"" 2.6GHz 6-Core #Apple #MacBook Pro for $2039, refurbished, at Apple. $360 off. Free ship, 1-yr warranty https://t.co/EeUOkbh5Kh","1333842059745255425"
"2634","9","Yes! The Meaford Public Library has MacBooks! 🍎 Thank you to the Rotary Club of Meaford! 
@Meaford @GreyBruceKids @Apple
 #Technology #ThankYou #MacBook #Apple https://t.co/Qd6Wxy25cb","1333841563500376066"
"2635","9","RT @theapplebizz: A 14 inch #MacBook Pro is in the works but according to #MingChiKuo, it may not actually surface until the back end of ne…","1333841220804767744"
